id,title,subtitle,authors,publisher,published_date,category,distribution_expense
9780310000000,Strengthening Data Science Methods for Department of Defense Personnel and Readiness Missions,,"National Academies of Sciences, Engineering, and Medicine, Division on Engineering and Physical Sciences, Board on Mathematical Sciences and Their Applications, Committee on Applied and Theoretical Statistics",National Academies Press,2017-02-06,data science,5.6
9781800000000,Ethical Practice of Statistics and Data Science,,Rochelle Tractenberg,Ethics International Press,2022-10-25,data science,4.22
9780130000000,Data Science Applied to Sustainability Analysis,,"Jennifer Dunn, Prasanna Balaprakash",Elsevier,2021-05-11,data science,3.19
9798570000000,Step Up for Leadership in Enterprise Data Science & Artificial Intelligence with Big Data,Illustrations with R & Python,Shitalkumar R Sukhdeve,Independently Published,2020-11-27,data science,6.9
9783030000000,Digital Libraries: The Era of Big Data and Data Science,"16th Italian Research Conference on Digital Libraries, IRCDL 2020, Bari, Italy, January 30–31, 2020, Proceedings","Michelangelo Ceci, Stefano Ferilli, Antonella Poggi",Springer Nature,2020-01-22,data science,7.3
9781640000000,Data Science with Python and Dask,,Jesse Daniel,Simon and Schuster,2019-07-08,data science,4.55
9781490000000,Designing Data-Intensive Applications,"The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,"""O'Reilly Media, Inc.""",2017-03-16,data science,5.6
3030883884,Applied Data Science in Tourism,"Interdisciplinary Approaches, Methodologies, and Applications",Roman Egger,Springer,2022-02-01,data science,4.22
9781120000000,Developing Analytic Talent,Becoming a Data Scientist,Vincent Granville,John Wiley & Sons,2014-03-24,data science,3.19
1789347998,Machine Learning Algorithms,,Giuseppe Bonaccorso,Packt Publishing,2018-08-30,data science,6.9
9783320000000,Recent Developments in Data Science and Business Analytics,Proceedings of the International Conference on Data Science and Business Analytics (ICDSBA- 2017),"Madjid Tavana, Srikanta Patnaik",Springer,2018-03-27,data science,7.3
9781630000000,AI for Data Science,"Artificial Intelligence Frameworks and Functionality for Deep Learning, Optimization, and Beyond","Zacharias Voulgaris PhD, Yunus Emrah Bulut",Technics Publications,2018-10-01,data science,4.55
1718726694,Data Science from Scratch,Comprehensive Guide with Essential Principles of Data Science (Beginner's Guide),Scott Harvey,Createspace Independent Publishing Platform,2018-05-09,data science,5.6
9781490000000,Data Science at the Command Line,Facing the Future with Time-Tested Tools,Jeroen Janssens,"""O'Reilly Media, Inc.""",2014-09-25,data science,4.22
9781000000000,Data Analytics and AI,,Jay Liebowitz,CRC Press,2020-08-06,data science,3.19
9784430000000,"Data Science, Classification, and Related Methods","Proceedings of the Fifth Conference of the International Federation of Classification Societies (IFCS-96), Kobe, Japan, March 27–30, 1996","Chikio Hayashi, Keiji Yajima, Hans H. Bock, Noboru Ohsumi, Yutaka Tanaka, Yasumasa Baba",Springer Science & Business Media,2013-11-11,data science,6.9
9781490000000,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow","Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,"""O'Reilly Media, Inc.""",2019-09-05,data science,7.3
9781790000000,Big Data Analytics,,Venkat Ankam,Packt Publishing Ltd,2016-09-28,data science,4.55
9783030000000,Statistics with Julia,"Fundamentals for Data Science, Machine Learning and Artificial Intelligence","Yoni Nazarathy, Hayden Klok",Springer Nature,2021-09-04,data science,5.6
9781110000000,Understanding Machine Learning,From Theory to Algorithms,"Shai Shalev-Shwartz, Shai Ben-David",Cambridge University Press,2014-05-19,data science,4.22
9783030000000,Applying Data Science,How to Create Value with Artificial Intelligence,Arthur K. Kordon,Springer Nature,2020-09-12,data science,3.19
9781000000000,How to Think about Data Science,,Diego Miranda-Saavedra,CRC Press,2022-12-23,data science,6.9
1119741742,Becoming a Data Head,"How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning","Alex J. Gutman, Jordan Goldmeier",Wiley,2021-05-11,data science,7.3
9783030000000,Deep Learning in Data Analytics,"Recent Techniques, Practices and Applications","Debi Prasanna Acharjya, Anirban Mitra, Noor Zaman",Springer Nature,2021-08-11,data science,4.55
9781490000000,Agile Data Science 2.0,Building Full-Stack Data Analytics Applications with Spark,Russell Jurney,"""O'Reilly Media, Inc.""",2017-06-07,data science,5.6
9386551934,Machine Learning with Python,,Abhishek Vijayvargia,BPB Publications,2018-03-01,data science,4.22
9781000000000,Data Science and Analytics Strategy,An Emergent Design Approach,"Kailash Awati, Alexander Scriven",CRC Press,2023-04-05,data science,3.19
9780820000000,Introduction to Probability,,"Charles Miller Grinstead, James Laurie Snell",American Mathematical Soc.,2012-10-30,data science,6.9
9781490000000,Generative Deep Learning,"Teaching Machines to Paint, Write, Compose, and Play",David Foster,"""O'Reilly Media, Inc.""",2019-06-28,data science,7.3
9780140000000,The Signal and the Noise,Why So Many Predictions Fail--but Some Don't,Nate Silver,Penguin,2015-02-03,data science,4.55
9789810000000,Data Science and Intelligent Applications,Proceedings of ICDSIA 2020,"Ketan Kotecha, Vincenzo Piuri, Hetalkumar N. Shah, Rajan Patel",Springer Nature,2020-06-17,data science,5.6
9780130000000,Data Science for COVID-19 Volume 1,Computational Perspectives,"Utku Kose, Deepak Gupta, Victor Hugo Costa de Albuquerque, Ashish Khanna",Academic Press,2021-05-20,data science,4.22
9781290000000,Big Data Demystified,"How to use big data, data science and AI to make better business decisions and gain competitive advantage",David Stephenson,Pearson UK,2018-02-12,data science,3.19
9783030000000,"Advances in Artificial Intelligence, Computation, and Data Science",For Medicine and Life Science,"Tuan D. Pham, Hong Yan, Muhammad W. Ashraf, Folke Sjöberg",Springer Nature,2021-07-12,data science,6.9
9789810000000,Data Science and Security,Proceedings of IDSCS 2021,"Samiksha Shukla, Aynur Unal, Joseph Varghese Kureethara, Durgesh Kumar Mishra, Dong Seog Han",Springer Nature,2021-08-26,data science,7.3
3662570416,Process Mining,Data Science in Action,Wil M. P. van der Aalst,Springer,2018-04-22,data science,4.55
9781120000000,Data Science with Semantic Technologies,"Theory, Practice and Application","Archana Patel, Narayan C. Debnath, Bharat Bhusan",John Wiley & Sons,2022-10-26,data science,5.6
9781490000000,Learning to Love Data Science,"Explorations of Emerging Technologies and Platforms for Predictive Analytics, Machine Learning, Digital Manufacturing and Supply Chain Optimization",Mike Barlow,"""O'Reilly Media, Inc.""",2015-10-27,data science,4.55
9781590000000,Mining Social Media,Finding Stories in Internet Data,Lam Thuy Vo,No Starch Press,2019-11-25,data science,5.6
